typeID,groupID,typeName,typeID
0,0,#System,0
2,2,Corporation,2
3,3,Region,3
4,4,Constellation,4
5,5,Solar System,5
6,6,Sun G5 (Yellow),6
7,6,Sun K7 (Orange),7
8,6,Sun K5 (Red Giant),8
9,6,Sun B0 (Blue),9
10,6,Sun F0 (White),10
11,7,Planet (Temperate),11
12,7,Planet (Ice),12
13,7,Planet (Gas),13
14,8,Moon,14
15,9,Asteroid Belt,15
16,10,Stargate (Caldari System),16
17,10,Stargate (Amarr Constellation),17
18,458,Plagioclase,18
19,461,Spodumain,19
20,457,Kernite,20
21,454,Hedbergite,21
22,450,Arkonor,22
23,12,Cargo Container,23
24,13,Ring,24
25,14,Corpse Male,25
26,16,Office Folder,26
27,16,Office,27
28,16,Factory Folder,28
29,17,Credits,29
30,19,Faction,30
34,18,Tritanium,34
35,18,Pyerite,35
36,18,Mexallon,36
37,18,Isogen,37
38,18,Nocxium,38
39,18,Zydrine,39
40,18,Megacyte,40
41,280,Garbage,41
42,280,Spiced Wine,42
43,280,Antibiotics,43
44,1034,Enriched Uranium,44
45,281,Frozen Plant Seeds,45
49,24,Player Kill,49
50,24,Company Shares,50
51,24,Bookmark,51
52,94,Trading,52
53,95,Trade Session,53
54,15,Caldari Logistics Station,54
56,15,Gallente Military Station,56
57,15,Gallente Station Hub,57
58,15,C-O-1,58
59,15,C-O-2,59
60,1319,Asset Safety Wrap,60
164,23,Clone Grade Alpha,164
165,23,Clone Grade Beta,165
166,23,Clone Grade Gamma,166
178,83,Carbonized Lead S,178
179,83,Nuclear S,179
180,83,Proton S,180
181,83,Depleted Uranium S,181
182,83,Titanium Sabot S,182
183,83,Fusion S,183
184,83,Phased Plasma S,184
185,83,EMP S,185
186,83,Carbonized Lead M,186
187,83,Nuclear M,187
188,83,Proton M,188
189,83,Depleted Uranium M,189
190,83,Titanium Sabot M,190
191,83,Fusion M,191
192,83,Phased Plasma M,192
193,83,EMP M,193
194,83,Carbonized Lead L,194
195,83,Nuclear L,195
196,83,Proton L,196
197,83,Depleted Uranium L,197
198,83,Titanium Sabot L,198
199,83,Fusion L,199
200,83,Phased Plasma L,200
201,83,EMP L,201
202,386,Mjolnir Cruise Missile,202
203,386,Scourge Cruise Missile,203
204,386,Inferno Cruise Missile,204
205,386,Nova Cruise Missile,205
206,385,Nova Heavy Missile,206
207,385,Mjolnir Heavy Missile,207
208,385,Inferno Heavy Missile,208
209,385,Scourge Heavy Missile,209
210,384,Scourge Light Missile,210
211,384,Inferno Light Missile,211
212,384,Mjolnir Light Missile,212
213,384,Nova Light Missile,213
215,85,Iron Charge S,215
216,85,Tungsten Charge S,216
217,85,Iridium Charge S,217
218,85,Lead Charge S,218
219,85,Thorium Charge S,219
220,85,Uranium Charge S,220
221,85,Plutonium Charge S,221
222,85,Antimatter Charge S,222
223,85,Iron Charge M,223
224,85,Tungsten Charge M,224
225,85,Iridium Charge M,225
226,85,Lead Charge M,226
227,85,Thorium Charge M,227
228,85,Uranium Charge M,228
229,85,Plutonium Charge M,229
230,85,Antimatter Charge M,230
231,85,Iron Charge L,231
232,85,Tungsten Charge L,232
233,85,Iridium Charge L,233
234,85,Lead Charge L,234
235,85,Thorium Charge L,235
236,85,Uranium Charge L,236
237,85,Plutonium Charge L,237
238,85,Antimatter Charge L,238
239,86,Radio S,239
240,86,Microwave S,240
241,86,Infrared S,241
242,86,Standard S,242
243,86,Ultraviolet S,243
244,86,Xray S,244
245,86,Gamma S,245
246,86,Multifrequency S,246
247,86,Radio M,247
248,86,Microwave M,248
249,86,Infrared M,249
250,86,Standard M,250
251,86,Ultraviolet M,251
252,86,Xray M,252
253,86,Gamma M,253
254,86,Multifrequency M,254
255,86,Radio L,255
256,86,Microwave L,256
257,86,Infrared L,257
258,86,Standard L,258
259,86,Ultraviolet L,259
260,86,Xray L,260
261,86,Gamma L,261
262,86,Multifrequency L,262
263,87,Cap Booster 25,263
264,87,Cap Booster 50,264
265,1158,Heavy Defender Missile I,265
266,387,Scourge Rocket,266
267,89,Scourge Torpedo,267
269,394,Mjolnir Auto-Targeting Light Missile I,269
270,92,Python Mine,270
377,38,Small Shield Extender I,377
380,38,Small Shield Extender II,380
393,39,Shield Recharger I,393
394,39,Shield Recharger II,394
399,40,Small Shield Booster I,399
400,40,Small Shield Booster II,400
405,41,'Micro' Remote Shield Booster,405
406,41,Micro Remote Shield Booster II,406
421,43,'Basic' Capacitor Recharger,421
434,46,5MN Microwarpdrive I,434
438,46,1MN Afterburner II,438
439,46,1MN Afterburner I,439
440,46,5MN Microwarpdrive II,440
442,47,Cargo Scanner I,442
443,48,Ship Scanner I,443
444,49,Survey Scanner I,444
447,52,Warp Scrambler I,447
448,52,Warp Scrambler II,448
450,53,Gatling Pulse Laser I,450
451,53,Dual Light Pulse Laser I,451
452,53,Dual Light Beam Laser I,452
453,53,Small Focused Pulse Laser I,453
454,53,Small Focused Beam Laser I,454
455,53,Quad Light Beam Laser I,455
456,53,Focused Medium Pulse Laser I,456
457,53,Focused Medium Beam Laser I,457
458,53,Heavy Pulse Laser I,458
459,53,Heavy Beam Laser I,459
460,53,Dual Heavy Pulse Laser I,460
461,53,Dual Heavy Beam Laser I,461
462,53,Mega Pulse Laser I,462
463,53,Mega Beam Laser I,463
464,53,Tachyon Beam Laser I,464
482,54,Miner II,482
483,54,Miner I,483
484,55,125mm Gatling AutoCannon I,484
485,55,150mm Light AutoCannon I,485
486,55,200mm AutoCannon I,486
487,55,250mm Light Artillery Cannon I,487
488,55,280mm Howitzer Artillery I,488
489,55,Dual 180mm AutoCannon I,489
490,55,220mm Vulcan AutoCannon I,490
491,55,425mm AutoCannon I,491
492,55,650mm Artillery Cannon I,492
493,55,720mm Howitzer Artillery I,493
494,55,Dual 425mm AutoCannon I,494
495,55,Dual 650mm Repeating Cannon I,495
496,55,800mm Repeating Cannon I,496
497,55,1200mm Artillery Cannon I,497
498,55,1400mm Howitzer Artillery I,498
499,509,Light Missile Launcher I,499
501,510,Heavy Missile Launcher I,501
503,508,Torpedo Launcher I,503
506,767,'Basic' Capacitor Power Relay,506
508,770,'Basic' Shield Flux Coil,508
509,768,'Basic' Capacitor Flux Coil,509
518,59,'Basic' Gyrostabilizer,518
519,59,Gyrostabilizer II,519
520,59,Gyrostabilizer I,520
521,60,'Basic' Damage Control,521
522,61,'Micro' Cap Battery,522
523,62,Small Armor Repairer I,523
524,63,Small Hull Repairer I,524
526,65,Stasis Webifier I,526
527,65,Stasis Webifier II,527
529,67,Small Remote Capacitor Transmitter I,529
530,68,Small Energy Nosferatu I,530
533,71,Small Energy Neutralizer I,533
561,74,75mm Gatling Rail I,561
562,74,Light Electron Blaster I,562
563,74,Light Ion Blaster I,563
564,74,Light Neutron Blaster I,564
565,74,150mm Railgun I,565
566,74,Heavy Electron Blaster I,566
567,74,Dual 150mm Railgun I,567
568,74,Heavy Neutron Blaster I,568
569,74,Heavy Ion Blaster I,569
570,74,250mm Railgun I,570
571,74,Electron Blaster Cannon I,571
572,74,Dual 250mm Railgun I,572
573,74,Neutron Blaster Cannon I,573
574,74,425mm Railgun I,574
575,74,Ion Blaster Cannon I,575
577,76,Medium Capacitor Booster I,577
578,77,Multispectrum Shield Hardener I,578
580,80,Burst Jammer I,580
581,82,Passive Targeter I,581
582,25,Bantam,582
583,25,Condor,583
584,25,Griffin,584
585,25,Slasher,585
586,25,Probe,586
587,25,Rifter,587
588,237,Reaper,588
589,25,Executioner,589
590,25,Inquisitor,590
591,25,Tormentor,591
592,25,Navitas,592
593,25,Tristan,593
594,25,Incursus,594
595,25,Gallente Police Ship,595
596,237,Impairor,596
597,25,Punisher,597
598,25,Breacher,598
599,25,Burst,599
600,25,Minmatar Peacekeeper Ship,600
601,237,Ibis,601
602,25,Kestrel,602
603,25,Merlin,603
605,25,Heron,605
606,237,Velator,606
607,25,Imicus,607
608,25,Atron,608
609,25,Maulus,609
613,25,Devourer,613
614,25,Fury,614
615,237,Immolator,615
616,25,Medusa,616
617,237,Echo,617
618,25,Lynx,618
619,25,Swordspine,619
620,26,Osprey,620
621,26,Caracal,621
622,26,Stabber,622
623,26,Moa,623
624,26,Maller,624
625,26,Augoror,625
626,26,Vexor,626
627,26,Thorax,627
628,26,Arbitrator,628
629,26,Rupture,629
630,26,Bellicose,630
631,26,Scythe,631
632,26,Blackbird,632
633,26,Celestis,633
634,26,Exequror,634
635,26,Opux Luxury Yacht,635
638,27,Raven,638
639,27,Tempest,639
640,27,Scorpion,640
641,27,Megathron,641
642,27,Apocalypse,642
643,27,Armageddon,643
644,27,Typhoon,644
645,27,Dominix,645
648,28,Badger,648
649,28,Tayra,649
650,28,Nereus,650
651,28,Hoarder,651
652,28,Mammoth,652
653,28,Wreathe,653
654,28,Kryos,654
655,28,Epithal,655
656,28,Miasmos,656
657,28,Iteron Mark V,657
670,29,Capsule,670
671,30,Erebus,671
672,31,Caldari Shuttle,672
681,104,Clone Grade Beta Blueprint,681
682,104,Clone Grade Gamma Blueprint,682
683,105,Bantam Blueprint,683
684,105,Condor Blueprint,684
685,105,Griffin Blueprint,685
686,106,Osprey Blueprint,686
687,106,Caracal Blueprint,687
688,107,Raven Blueprint,688
689,105,Slasher Blueprint,689
690,105,Probe Blueprint,690
691,105,Rifter Blueprint,691
692,106,Stabber Blueprint,692
693,107,Tempest Blueprint,693
784,134,Miner II Blueprint,784
785,134,Miner I Blueprint,785
786,136,Light Missile Launcher I Blueprint,786
788,136,Heavy Missile Launcher I Blueprint,788
790,136,Torpedo Launcher I Blueprint,790
803,166,Mjolnir Cruise Missile Blueprint,803
804,166,Scourge Cruise Missile Blueprint,804
805,166,Inferno Cruise Missile Blueprint,805
806,166,Nova Cruise Missile Blueprint,806
807,166,Nova Heavy Missile Blueprint,807
808,166,Mjolnir Heavy Missile Blueprint,808
809,166,Inferno Heavy Missile Blueprint,809
810,166,Scourge Heavy Missile Blueprint,810
811,166,Scourge Light Missile Blueprint,811
812,166,Inferno Light Missile Blueprint,812
813,166,Mjolnir Light Missile Blueprint,813
814,166,Nova Light Missile Blueprint,814
819,135,125mm Gatling AutoCannon I Blueprint,819
820,135,150mm Light AutoCannon I Blueprint,820
821,135,200mm AutoCannon I Blueprint,821
822,135,250mm Light Artillery Cannon I Blueprint,822
