typeID,typeName,volume
18,Plagioclase,0.35
19,Spodumain,16
20,Kernite,1.2
21,Hedbergite,3
22,Arkonor,16
25,Corpse Male,2
34,Tritanium,0.01
35,Pyerite,0.01
36,Mexallon,0.01
37,Isogen,0.01
38,Nocxium,0.01
39,Zydrine,0.01
40,Megacyte,0.01
41,Garbage,0.25
42,Spiced Wine,0.5
43,Antibiotics,0.2
44,Enriched Uranium,0.75
45,Frozen Plant Seeds,0.5
178,Carbonized Lead S,0.0025
179,Nuclear S,0.0025
180,Proton S,0.0025
181,Depleted Uranium S,0.0025
182,Titanium Sabot S,0.0025
183,Fusion S,0.0025
184,Phased Plasma S,0.0025
185,EMP S,0.0025
186,Carbonized Lead M,0.0125
187,Nuclear M,0.0125
188,Proton M,0.0125
189,Depleted Uranium M,0.0125
190,Titanium Sabot M,0.0125
191,Fusion M,0.0125
192,Phased Plasma M,0.0125
193,EMP M,0.0125
194,Carbonized Lead L,0.025
195,Nuclear L,0.025
196,Proton L,0.025
197,Depleted Uranium L,0.025
198,Titanium Sabot L,0.025
199,Fusion L,0.025
200,Phased Plasma L,0.025
201,EMP L,0.025
202,Mjolnir Cruise Missile,0.05
203,Scourge Cruise Missile,0.05
204,Inferno Cruise Missile,0.05
205,Nova Cruise Missile,0.05
206,Nova Heavy Missile,0.03
207,Mjolnir Heavy Missile,0.03
208,Inferno Heavy Missile,0.03
209,Scourge Heavy Missile,0.03
210,Scourge Light Missile,0.015
211,Inferno Light Missile,0.015
212,Mjolnir Light Missile,0.015
213,Nova Light Missile,0.015
215,Iron Charge S,0.0025
216,Tungsten Charge S,0.0025
217,Iridium Charge S,0.0025
218,Lead Charge S,0.0025
219,Thorium Charge S,0.0025
220,Uranium Charge S,0.0025
221,Plutonium Charge S,0.0025
222,Antimatter Charge S,0.0025
223,Iron Charge M,0.0125
224,Tungsten Charge M,0.0125
225,Iridium Charge M,0.0125
226,Lead Charge M,0.0125
227,Thorium Charge M,0.0125
228,Uranium Charge M,0.0125
229,Plutonium Charge M,0.0125
230,Antimatter Charge M,0.0125
231,Iron Charge L,0.025
232,Tungsten Charge L,0.025
233,Iridium Charge L,0.025
234,Lead Charge L,0.025
235,Thorium Charge L,0.025
236,Uranium Charge L,0.025
237,Plutonium Charge L,0.025
238,Antimatter Charge L,0.025
239,Radio S,1
240,Microwave S,1
241,Infrared S,1
242,Standard S,1
243,Ultraviolet S,1
244,Xray S,1
245,Gamma S,1
246,Multifrequency S,1
247,Radio M,1
248,Microwave M,1
249,Infrared M,1
250,Standard M,1
251,Ultraviolet M,1
252,Xray M,1
253,Gamma M,1
254,Multifrequency M,1
255,Radio L,1
256,Microwave L,1
257,Infrared L,1
258,Standard L,1
259,Ultraviolet L,1
260,Xray L,1
261,Gamma L,1
262,Multifrequency L,1
263,Cap Booster 25,1
264,Cap Booster 50,2
266,Scourge Rocket,0.005
267,Scourge Torpedo,0.05
269,Mjolnir Auto-Targeting Light Missile I,0.015
377,Small Shield Extender I,5
380,Small Shield Extender II,5
393,Shield Recharger I,5
394,Shield Recharger II,5
399,Small Shield Booster I,5
400,Small Shield Booster II,5
405,'Micro' Remote Shield Booster,2.5
421,'Basic' Capacitor Recharger,5
434,5MN Microwarpdrive I,10
438,1MN Afterburner II,5
439,1MN Afterburner I,5
440,5MN Microwarpdrive II,10
442,Cargo Scanner I,5
443,Ship Scanner I,5
444,Mining Survey Chipset I,5
447,Warp Scrambler I,5
448,Warp Scrambler II,5
450,Gatling Pulse Laser I,5
451,Dual Light Pulse Laser I,5
452,Dual Light Beam Laser I,5
453,Small Focused Pulse Laser I,5
454,Small Focused Beam Laser I,5
455,Quad Light Beam Laser I,10
456,Focused Medium Pulse Laser I,10
457,Focused Medium Beam Laser I,10
458,Heavy Pulse Laser I,25
459,Heavy Beam Laser I,25
460,Dual Heavy Pulse Laser I,20
461,Dual Heavy Beam Laser I,50
462,Mega Pulse Laser I,50
463,Mega Beam Laser I,50
464,Tachyon Beam Laser I,50
482,Miner II,5
483,Miner I,5
484,125mm Gatling AutoCannon I,5
485,150mm Light AutoCannon I,5
486,200mm AutoCannon I,5
487,250mm Light Artillery Cannon I,5
488,280mm Howitzer Artillery I,5
489,Dual 180mm AutoCannon I,10
490,220mm Vulcan AutoCannon I,10
491,425mm AutoCannon I,10
492,650mm Artillery Cannon I,25
493,720mm Howitzer Artillery I,25
494,Dual 425mm AutoCannon I,20
495,Dual 650mm Repeating Cannon I,50
496,800mm Repeating Cannon I,25
497,1200mm Artillery Cannon I,50
498,1400mm Howitzer Artillery I,50
499,Light Missile Launcher I,5
501,Heavy Missile Launcher I,10
503,Torpedo Launcher I,20
506,'Basic' Capacitor Power Relay,5
508,'Basic' Shield Flux Coil,5
509,'Basic' Capacitor Flux Coil,5
518,'Basic' Gyrostabilizer,5
519,Gyrostabilizer II,5
520,Gyrostabilizer I,5
521,'Basic' Damage Control,5
522,'Micro' Cap Battery,2.5
523,Small Armor Repairer I,5
524,Small Hull Repairer I,12.5
526,Stasis Webifier I,5
527,Stasis Webifier II,5
529,Small Remote Capacitor Transmitter I,5
530,Small Energy Nosferatu I,5
533,Small Energy Neutralizer I,5
561,75mm Gatling Rail I,5
562,Light Electron Blaster I,5
563,Light Ion Blaster I,5
564,Light Neutron Blaster I,5
565,150mm Railgun I,5
566,Heavy Electron Blaster I,10
567,Dual 150mm Railgun I,10
568,Heavy Neutron Blaster I,25
569,Heavy Ion Blaster I,10
570,250mm Railgun I,25
571,Electron Blaster Cannon I,50
572,Dual 250mm Railgun I,20
573,Neutron Blaster Cannon I,50
574,425mm Railgun I,50
575,Ion Blaster Cannon I,50
577,Medium Capacitor Booster I,10
578,Multispectrum Shield Hardener I,5
580,Burst Jammer I,5
581,Passive Targeter I,25
582,Bantam,20000
583,Condor,18000
584,Griffin,19400
585,Slasher,17400
586,Probe,19500
587,Rifter,27289
588,Reaper,15800
589,Executioner,28100
590,Inquisitor,28700
591,Tormentor,24398
592,Navitas,10000
593,Tristan,26500
594,Incursus,29500
596,Impairor,28100
597,Punisher,28600
598,Breacher,20000
599,Burst,17100
601,Ibis,15000
602,Kestrel,19700
603,Merlin,16500
605,Heron,18900
606,Velator,24500
607,Imicus,21500
608,Atron,22500
609,Maulus,23000
615,Immolator,17400
617,Echo,17660
620,Osprey,107000
621,Caracal,92000
622,Stabber,80000
623,Moa,101000
624,Maller,118000
625,Augoror,115000
